date,hour,tweet
22-04-20,2:32:00,"b""@deniszterim16 Siz de suriyeli'yi hak ettiniz o zaman bqewkendldnx"""
22-04-20,1:43:00,b'@e8nesto @allahsizcavus3 @burukovic Aptal evlad\xc4\xb1 hak ve \xc3\xb6zg\xc3\xbcrl\xc3\xbckler olarak e\xc5\x9fitsin. \xc4\xb0\xc5\x9f bulma konusunda kim daha uyg\xe2\x80\xa6 https://t.co/mRAV4rzbbY'
24-04-20,6:04:00,b'@Nalan_Kocak @barisyarkadas Aklima otobusun birinden atilan \xc3\xa7ay virali geldi. Herkes hak ettigi sekil de yasar. Sur\xe2\x80\xa6 https://t.co/N6EQ3nSj5s'
24-04-20,8:07:00,b'@Medyascopetv Demokrasi olmadan sen halk\xc4\xb1n\xc4\xb1 kalk\xc4\xb1ndirmadan hak  h\xc3\xbcrriyet sa\xc4\x9flanmadan Nasil yap\xc4\xb1land\xc4\xb1rma yapacaksin\xe2\x80\xa6 https://t.co/cFt1RuUuMK'
26-04-20,2:47:00,"b'Vakfimiz TOHAV, suregelen pandemiye insan haklari cercevesinden bakan bir seminer dizisi duzenlemektedir. Insan hak\xe2\x80\xa6 https://t.co/9S20V7aW4V'"
26-04-20,2:47:00,"b'Vakfimiz TOHAV, suregelen pandemiye insan haklari cercevesinden bakan bir seminer dizisi duzenlemektedir. Insan hak\xe2\x80\xa6 https://t.co/9S20V7aW4V'"
26-04-20,12:17:00,b'@35_1923 @BARCAN67 Baci  suriyeli hakkini yiyemem demek de ne  musluman san kul hakki yecen domuz eti yemeyecen\xf0\x9f\x98\x82'
26-04-20,5:34:00,b'@pelinsu1964 @EAksunger Tc vatanda\xc5\x9flar\xc4\xb1na var sizin gibi nank\xc3\xb6rlere verilmesin hak etmiyorsunuz suriyeli ye uzayl\xc4\xb1y\xe2\x80\xa6 https://t.co/QGwXUZXoxy'
27-04-20,10:05:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
27-04-20,10:51:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
